                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.50661,                0.46392,                0.95504,                0.87875,                0.88783,                0.91838,                0.81291,                0.50801,                0.53128,                0.93185,              0.0009047,              0.0009047,              0.0009047
                     99,                0.50041,                0.46273,                0.96146,                0.87444,                0.88449,                0.91548,                0.80176,                0.53091,                0.56887,                0.93782,             0.00089685,             0.00089685,             0.00089685
                    100,                0.51218,                 0.4753,                0.95552,                0.87685,                0.88175,                0.91198,                0.81037,                0.50735,                0.56616,                0.93276,             0.00088899,             0.00088899,             0.00088899
                    101,                0.52283,                0.46972,                0.97711,                0.85907,                0.88035,                0.91654,                0.80626,                0.53028,                0.56884,                0.94042,             0.00088113,             0.00088113,             0.00088113
                    102,                0.49569,                 0.4636,                0.95419,                0.86481,                0.88329,                0.91575,                0.80582,                0.51591,                0.55934,                0.94486,             0.00087327,             0.00087327,             0.00087327
                    103,                0.50127,                0.44809,                0.95436,                 0.9049,                0.86625,                0.91633,                 0.8103,                0.50948,                 0.5633,                0.92912,             0.00086541,             0.00086541,             0.00086541
                    104,                0.51049,                0.46731,                0.96246,                0.86775,                0.90748,                0.92643,                 0.8159,                0.51832,                0.53167,                0.92956,             0.00085755,             0.00085755,             0.00085755
                    105,                0.49484,                0.46448,                0.95335,                0.88285,                0.87718,                 0.9181,                 0.8131,                0.50205,                0.54187,                0.92624,             0.00084969,             0.00084969,             0.00084969
                    106,                0.49079,                0.44865,                0.94715,                0.84047,                0.90641,                0.91732,                0.80993,                0.50889,                0.56686,                0.92756,             0.00084184,             0.00084184,             0.00084184
                    107,                 0.4976,                 0.4552,                0.96471,                0.85097,                0.90126,                0.91611,                0.80572,                0.51766,                0.57318,                0.94022,             0.00083398,             0.00083398,             0.00083398
                    108,                0.49662,                0.45911,                0.95321,                 0.8956,                0.87332,                0.91441,                0.79936,                0.53354,                0.56051,                 0.9428,             0.00082612,             0.00082612,             0.00082612
                    109,                0.48853,                0.43934,                0.95389,                 0.8664,                0.88917,                0.91411,                0.81255,                 0.5098,                0.55895,                0.93109,             0.00081826,             0.00081826,             0.00081826
                    110,                0.49332,                0.45651,                 0.9516,                 0.8838,                0.86863,                0.92099,                0.81985,                0.50133,                0.55589,                0.92791,              0.0008104,              0.0008104,              0.0008104
                    111,                 0.4964,                0.45538,                0.95879,                0.87654,                0.89197,                0.92598,                0.82645,                0.49208,                0.53918,                0.92414,             0.00080254,             0.00080254,             0.00080254
                    112,                0.48327,                 0.4549,                0.94664,                 0.8927,                0.85887,                0.92084,                0.82049,                0.49839,                0.54188,                0.92074,             0.00079468,             0.00079468,             0.00079468
                    113,                0.48247,                0.43201,                0.94442,                0.88249,                 0.8706,                0.91854,                0.81458,                0.49566,                0.55235,                0.92255,             0.00078682,             0.00078682,             0.00078682
                    114,                 0.4862,                0.44307,                0.94366,                0.88785,                0.86686,                0.92035,                0.80648,                0.51088,                0.55031,                0.93203,             0.00077897,             0.00077897,             0.00077897
                    115,                0.48607,                0.43719,                0.95249,                0.89401,                0.87754,                0.92573,                0.82436,                0.49299,                0.53249,                0.92408,             0.00077111,             0.00077111,             0.00077111
